folio,estab,sexoe,edade,prome,curso,ccon1,ccon2,ccon4,ccon5,cemo1,cemo2,cemo3,cemo4,cemo5,cemo6,ccog1,ccog2,ccog3,ccog4,ccog5,clas1,clas2,clas3,clas4,clas5,clas6,clas7,clas8,clno1,clno2,clno3,clno4,clnv1,clnv2,clnv3,clpa1,clpa2,clpa3
98,1,1,15,4.5,3,3,3,3,1,3,3,1,1,3,1,1,1,1,1,1,3,4,3,3,3,3,3,3,4,4,4,2,4,2,2,4,4,4
99,1,0,12,6.3,2,5,1,5,1,1,5,3,3,3,3,5,1,1,5,2,3,1,3,5,4,4,4,5,1,2,3,5,5,3,3,2,2,1
100,1,0,10,5.8,1,3,1,3,3,3,5,3,3,3,2,3,3,1,2,1,3,3,3,3,4,3,3,3,3,2,4,4,3,3,4,3,3,3
101,2,0,12,6.1,3,5,2,4,1,3,5,3,2,3,4,1,3,1,3,1,1,3,4,4,3,4,4,2,3,2,4,3,2,4,4,2,1,2
102,2,1,13,5.4,4,4,2,5,2,5,3,3,5,5,5,3,3,1,1,1,3,5,5,5,4,2,5,4,5,4,5,5,5,5,5,3,5,4
103,2,1,12,5.2,3,3,2,3,2,3,4,2,2,3,2,1,2,1,3,3,5,4,4,4,5,5,4,4,3,3,4,4,4,3,4,3,4,4
104,1,1,13,5,4,3,2,3,3,3,3,3,4,3,2,4,2,2,2,2,4,3,2,4,1,2,4,1,4,3,4,3,4,4,4,3,4,4
105,2,0,14,5,4,3,3,3,4,1,5,2,2,2,4,1,1,1,1,1,2,3,2,4,1,2,2,2,3,2,1,3,4,4,4,1,4,3
106,2,0,14,4.8,4,4,3,4,4,5,1,3,4,5,4,4,2,2,2,2,1,3,3,5,4,3,4,1,3,3,1,1,2,4,4,1,1,1
107,1,0,12,6,3,2,3,2,3,1,5,1,1,1,2,2,1,2,4,2,1,4,3,4,3,2,3,1,3,1,2,3,5,5,3,4,1,1
108,2,0,12,5.3,2,4,4,4,4,5,3,1,4,4,1,1,1,3,1,1,3,3,3,3,4,4,4,4,3,2,4,2,4,4,5,3,4,1
109,1,0,12,4.6,2,3,3,3,1,3,3,3,3,3,4,3,3,1,2,3,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4,3
110,1,0,12,5.4,3,5,1,3,1,3,4,3,3,4,1,4,1,3,1,3,5,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
111,1,0,13,5.3,3,3,3,3,3,4,4,1,1,3,3,1,1,1,1,1,2,4,4,4,2,2,3,3,3,3,2,2,2,3,3,2,3,4
112,2,0,11,,1,5,1,5,3,5,1,4,5,4,3,5,5,4,4,3,4,4,5,4,5,5,4,5,3,5,5,4,5,2,4,2,3,5
113,1,1,13,4.9,2,4,3,3,2,5,3,3,5,4,5,3,3,3,4,2,5,5,5,5,5,5,4,4,4,4,3,4,4,5,5,4,4,3
114,2,0,11,6,2,3,2,4,1,4,3,3,4,4,1,2,3,1,5,4,5,4,3,4,3,3,4,2,4,3,5,2,5,5,5,2,1,2
115,1,0,12,5.7,2,3,1,5,1,5,3,3,4,3,5,3,3,5,4,3,4,3,4,4,3,4,4,3,4,3,5,5,4,5,5,3,3,4
116,2,0,11,5.9,2,4,2,4,2,4,3,4,4,4,5,3,3,2,5,3,3,3,2,2,3,3,3,4,2,3,3,2,4,4,3,3,3,4
117,1,1,11,6.1,2,5,3,3,3,3,5,1,1,1,1,3,3,2,1,5,1,1,1,3,5,5,3,5,1,1,1,1,1,1,3,1,2,1
118,2,1,14,5.8,4,5,2,5,1,5,1,3,4,5,5,5,4,3,3,1,5,5,2,5,3,4,3,4,4,3,2,3,5,5,5,1,2,2
119,1,1,13,5.8,4,4,2,4,1,4,3,3,4,3,3,3,3,2,4,2,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,3,4,4
120,2,0,11,5.7,2,3,1,3,3,1,3,3,2,3,1,3,1,2,4,2,5,5,5,2,2,3,4,4,3,5,1,3,5,5,5,1,4,3
121,2,0,12,5.7,3,4,2,5,2,5,1,4,4,4,4,3,2,4,4,1,4,3,3,5,5,5,5,4,5,4,5,5,5,5,5,4,4,4
122,2,0,13,5.3,3,4,5,5,1,3,3,4,4,4,5,3,4,3,4,3,4,5,5,4,5,4,5,4,3,4,5,4,4,3,4,4,2,4
123,1,1,13,5.1,3,5,2,5,3,3,3,1,3,4,3,2,3,2,1,11,5,3,4,5,1,4,3,3,1,4,4,5,4,4,3,2,4,5
124,1,1,12,5.8,3,3,3,4,1,5,3,3,5,5,1,5,1,1,1,1,4,4,5,5,4,5,5,4,5,5,4,5,5,5,5,3,5,5
125,2,0,10,,1,4,1,4,2,4,2,2,4,5,4,4,3,3,2,2,3,4,4,4,5,4,4,3,3,4,5,4,4,4,4,4,3,3
126,1,0,11,5.3,2,4,3,5,2,1,1,2,1,1,5,5,1,1,4,1,5,1,3,3,1,3,3,2,4,2,4,1,5,5,5,3,2,4
127,1,0,13,6,4,4,1,4,3,4,3,3,4,4,5,3,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,5,3,2,3
128,2,0,12,6.1,2,3,1,3,2,5,2,4,3,3,1,1,2,1,3,1,3,4,5,5,3,4,5,3,5,5,4,4,5,5,5,1,3,3
129,2,0,14,5.4,4,5,3,4,2,3,3,3,1,3,3,2,1,1,2,1,4,4,4,3,4,3,4,4,4,3,5,3,5,5,3,3,2,2
130,2,0,11,6.6,2,4,1,5,2,3,4,5,4,5,3,3,3,3,5,3,2,3,5,4,5,5,5,5,2,4,5,3,4,5,2,4,2,4
131,2,0,11,,1,3,2,4,3,3,5,4,1,3,5,1,1,3,5,1,1,1,5,5,1,1,1,1,1,1,5,3,3,1,3,3,3,5
132,1,0,13,5.8,3,4,1,5,1,3,3,3,3,3,3,1,1,1,4,2,4,3,5,4,4,3,5,3,4,3,4,3,5,5,5,4,4,4
133,2,0,11,6.5,1,5,1,5,1,5,3,5,3,5,2,1,3,4,3,1,3,4,5,4,4,3,5,4,4,3,5,4,5,5,3,1,2,5
134,1,0,12,4.6,2,3,2,3,3,3,5,3,1,1,1,1,1,1,2,2,1,5,4,4,4,5,4,3,1,4,1,3,4,3,4,4,3,4
135,1,0,11,5.6,1,4,5,3,3,5,1,3,5,5,5,5,5,4,3,5,4,4,5,5,3,4,5,5,4,5,4,4,4,4,4,4,4,5
136,1,0,11,6.6,2,5,3,5,1,5,1,5,5,5,5,3,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,3
137,2,1,14,5.5,4,3,1,4,1,3,3,3,3,4,3,1,3,4,1,1,4,4,5,4,4,3,3,3,4,4,5,4,3,4,5,2,2,3
138,2,1,10,5.8,1,4,3,3,1,3,3,2,3,3,3,3,2,1,2,1,3,4,3,4,4,3,4,3,4,4,4,5,4,4,4,3,3,3
139,2,1,13,5.3,3,4,2,5,1,5,2,1,3,4,5,1,3,2,3,1,2,3,4,5,5,5,3,3,3,3,4,2,4,5,5,4,4,4
140,1,0,11,4.9,1,3,3,5,1,5,3,2,1,1,4,1,1,1,1,1,1,3,3,3,5,3,3,3,3,1,5,5,3,3,3,1,4,3
141,2,0,14,5.4,4,3,3,3,3,5,3,2,3,3,4,1,3,5,3,1,2,2,3,3,3,3,2,2,1,3,3,3,3,2,2,4,4,3
142,2,0,14,5,4,5,1,4,2,2,3,5,3,4,3,5,3,2,1,4,2,4,3,3,2,4,4,2,4,5,4,3,5,3,3,2,4,5
143,1,0,12,5.2,2,4,2,4,3,4,3,4,3,4,5,3,3,2,3,4,5,4,4,4,4,5,5,4,4,5,4,4,5,5,4,4,4,5
144,1,0,15,5,4,3,1,5,1,3,5,3,3,4,5,1,3,1,1,1,5,4,5,5,4,4,5,4,5,5,1,4,5,4,5,1,4,5
145,1,0,12,5.2,2,3,5,3,3,3,5,3,1,1,1,2,3,2,3,1,5,1,4,4,1,1,4,3,4,3,1,4,4,4,4,3,1,3
146,1,0,10,5.3,1,5,4,4,1,5,1,5,5,5,3,4,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5
147,1,0,12,5.9,3,1,3,3,1,1,5,2,3,1,5,1,1,1,1,1,2,2,3,4,3,4,2,1,3,4,2,3,4,4,3,2,1,5
148,1,1,13,5.3,4,3,3,3,1,3,3,4,3,3,2,1,1,3,3,1,3,3,3,3,2,3,2,3,2,4,2,3,4,4,2,3,3,3
149,1,1,13,5.8,4,4,2,5,1,5,3,4,4,4,3,3,2,3,3,3,4,5,5,5,4,5,5,4,5,4,4,4,5,5,5,3,4,4
150,1,1,11,5.5,2,5,1,3,1,5,3,5,5,5,5,1,3,5,3,2,5,2,5,5,2,3,5,3,4,3,4,2,3,3,5,3,3,5
151,2,1,13,6.1,3,5,1,5,1,5,3,4,4,2,5,2,3,3,3,1,4,3,5,5,4,4,5,2,5,4,5,4,4,3,3,4,3,4
